filename,mcd_dB
KAS_F_ANGER_00012.wav,5.7123
KAS_F_ANGER_00033.wav,5.9697
KAS_F_ANGER_00034.wav,5.7933
KAS_F_ANGER_00071.wav,5.3831
KAS_F_ANGER_00074.wav,6.0914
KAS_F_ANGER_00081.wav,6.2657
KAS_F_ANGER_00090.wav,5.8656
KAS_F_ANGER_00102.wav,5.6340
KAS_F_ANGER_00106.wav,6.0858
KAS_F_ANGER_00118.wav,5.5973
KAS_F_ANGER_00121.wav,5.9229
KAS_F_ANGER_00123.wav,5.9972
KAS_F_ANGER_00125.wav,5.5629
KAS_F_ANGER_00129.wav,5.2385
KAS_F_ANGER_00137.wav,5.5434
KAS_F_ANGER_00144.wav,5.6884
KAS_F_ANGER_00157.wav,5.7954
KAS_F_ANGER_00175.wav,6.0764
KAS_F_ANGER_00189.wav,5.7736
KAS_F_ANGER_00190.wav,5.6746
KAS_F_ANGER_00193.wav,5.7164
KAS_F_ANGER_00197.wav,5.6804
KAS_F_ANGER_00202.wav,5.8492
KAS_F_ANGER_00207.wav,5.5851
KAS_F_ANGER_00208.wav,5.8247
KAS_F_ANGER_00209.wav,5.9950
KAS_F_ANGER_00212.wav,5.3805
KAS_F_CONV_00006.wav,4.6387
KAS_F_CONV_00010.wav,5.1940
KAS_F_CONV_00011.wav,4.8292
KAS_F_CONV_00014.wav,5.2206
KAS_F_CONV_00017.wav,4.3415
KAS_F_CONV_00020.wav,5.0133
KAS_F_CONV_00029.wav,5.0110
KAS_F_CONV_00041.wav,4.7667
KAS_F_CONV_00043.wav,5.5938
KAS_F_CONV_00060.wav,4.7091
KAS_F_CONV_00067.wav,5.0395
KAS_F_CONV_00079.wav,4.8830
KAS_F_CONV_00080.wav,5.2029
KAS_F_CONV_00089.wav,5.0867
KAS_F_CONV_00096.wav,5.0767
KAS_F_CONV_00108.wav,5.3740
KAS_F_CONV_00109.wav,4.8079
KAS_F_CONV_00131.wav,4.9858
KAS_F_CONV_00146.wav,4.6606
KAS_F_CONV_00164.wav,4.8455
KAS_F_CONV_00192.wav,5.1624
KAS_F_CONV_00209.wav,4.9256
KAS_F_CONV_00212.wav,5.0141
KAS_F_CONV_00216.wav,5.1800
KAS_F_CONV_00217.wav,4.7652
KAS_F_CONV_00222.wav,5.0833
KAS_F_CONV_00227.wav,4.9840
KAS_F_CONV_00243.wav,4.9424
KAS_F_CONV_00255.wav,5.0857
KAS_F_CONV_00267.wav,4.3516
KAS_F_CONV_00292.wav,4.6228
KAS_F_CONV_00305.wav,4.8531
KAS_F_CONV_00311.wav,4.9604
KAS_F_CONV_00313.wav,4.8892
KAS_F_CONV_00328.wav,5.4114
KAS_F_CONV_00334.wav,4.9405
KAS_F_CONV_00356.wav,4.9494
KAS_F_CONV_00367.wav,4.9789
KAS_F_CONV_00448.wav,4.7401
KAS_F_CONV_00456.wav,5.4866
KAS_F_CONV_00461.wav,4.4346
KAS_F_CONV_00477.wav,4.8586
KAS_F_CONV_00490.wav,4.8211
KAS_F_CONV_00493.wav,4.6793
KAS_F_CONV_00495.wav,5.3604
KAS_F_CONV_00498.wav,4.7688
KAS_F_CONV_00505.wav,5.6901
KAS_F_CONV_00506.wav,4.8615
KAS_F_CONV_00513.wav,4.2796
KAS_F_CONV_00528.wav,5.3651
KAS_F_CONV_00532.wav,5.1298
KAS_F_CONV_00537.wav,5.2173
KAS_F_CONV_00563.wav,5.2241
KAS_F_CONV_00570.wav,4.8033
KAS_F_CONV_00580.wav,4.9797
KAS_F_CONV_00581.wav,5.1689
KAS_F_CONV_00593.wav,5.4313
KAS_F_CONV_00630.wav,5.3243
KAS_F_CONV_00636.wav,6.0445
KAS_F_CONV_00643.wav,5.3690
KAS_F_CONV_00647.wav,5.2655
KAS_F_CONV_00664.wav,4.8361
KAS_F_CONV_00677.wav,5.6464
KAS_F_CONV_00678.wav,5.5252
